Grantee Name,Discipline,Location,Year
Up Until Now Collective,Multidisciplinary,Bushwick,2022
Vassa Vasileva | Essence Theatre Studio,Theater,,2022
Victoria-Idongesit Udondian,Visual Arts,DUMBO,2022
Vong Pak,Dance,,2022
Weeksville Heritage Center,Interdisciplinary,,2022
What Will the Neighbors Say?,Theater,,2022
Womxn's Tango Collective,Interdisciplinary,Fort Greene,2022
Wuyi Jacobs,Multidisciplinary,,2022
Yaa Samar! Dance Theatre,Dance,,2022
Yasmin Mistry,Film/Video,,2022
Zaneta,Interdisciplinary,Williamsburg,2022
Zoe Rabinowitz & Galen Bremer,Multidisciplinary,Greenpoint,2022
Zulu Padilla,Visual Arts,Prospect Lefferts Gardens,2022
¡Oye! Group,Performing Arts,Bushwick,2022
